,speed,heading,desired_duration,actual_duration,x0,y0,vel_x0,vel_y0,col_x,col_y,x1,y1,vel_x1,vel_y1
0,120,213,0.29938476754038024,0.48917150497436523,0,0,0,0,-595,1751,-3,-7,2,-1
1,56,79,0.5816872236157092,0.7360260486602783,-3,-7,10,-7,156,-570,-1,-3,92,28
2,234,173,0.3535457909407014,0.5175642967224121,0,-3,105,28,420,-1510,1,-13,27,-331
3,69,280,0.1859072229270115,0.3450901508331299,1,-17,39,-476,-184,850,0,-30,-146,-373
4,66,353,0.8220304424669275,0.9874272346496582,-1,-33,-273,-163,-207,-1115,-10,-17,-60,131
5,152,333,0.3088185137622186,0.4592740535736084,-11,-16,-103,256,54,-951,-16,-7,-160,308
6,118,67,0.9601876304016976,1.1302177906036377,-17,-6,-154,310,62,-1016,-10,2,241,205
7,250,350,0.5023902980067124,0.6080789566040039,-7,5,256,161,781,1607,-8,20,-151,440
8,152,40,0.5737004625095712,0.7512030601501465,-9,22,-195,465,781,1607,-2,58,426,525
9,28,6,0.27959146905161525,0.4268317222595215,1,63,403,458,-428,-2103,9,77,-30,246
10,249,209,0.7631702966960737,0.9506170749664307,8,79,-142,254,-1177,-60,-4,54,-181,-704
11,101,223,0.7352418817403424,0.908024787902832,-6,47,-256,-752,303,-1365,-42,6,-311,-402
12,227,202,0.3488602121480807,0.49838829040527344,-44,3,-487,-602,123,-982,-80,-42,-397,-746
13,15,236,0.29976865544079656,0.4085235595703125,-82,-46,-394,-896,-3571,3262,-92,-56,-42,48
14,91,212,0.9086981820370317,1.0502192974090576,-92,-56,20,-23,-1937,1632,-95,-61,0,0
15,240,216,0.6806129338848115,0.7711181640625,-95,-61,0,0,-1937,1632,-98,-68,0,0
16,36,58,0.319031568454855,0.5123660564422607,-98,-68,0,0,-227,-908,-108,-61,-4,6
17,91,333,0.9751692291289701,1.1277668476104736,-108,-61,1,-1,12,-1287,-107,-49,-121,100
18,215,295,0.6349853407685043,0.7946109771728516,-108,-48,-102,240,422,-1498,-131,-37,-361,140
19,186,184,0.8694087105130672,1.0426368713378906,-133,-36,-440,199,-395,-984,-165,-44,-116,-437
20,57,52,0.26595589419976096,0.37201714515686035,-166,-48,-66,-416,884,2207,-167,-56,7,-46
21,101,357,0.15937275201612713,0.2636864185333252,-167,-56,-6,-55,884,2207,-165,-58,10,-80
22,65,345,0.6402248521486172,0.7665574550628662,-165,-58,37,-87,-17,-1130,-163,-51,-14,-4
23,219,117,0.3229941497604677,0.5124952793121338,-163,-51,-49,-15,586,991,-156,-54,276,-181
24,78,206,0.6717653984043082,0.8455958366394043,-155,-55,278,-176,-1441,1289,-149,-54,-68,-133
25,192,6,0.8040903883250261,0.9522902965545654,-149,-56,72,-35,682,-2793,-145,-28,42,539
26,112,294,0.8853179711441985,1.006263017654419,-144,-26,23,541,290,-733,-176,3,-334,131
27,99,12,0.3417140303174865,0.46770548820495605,-178,4,-441,180,-767,3634,-186,6,-116,5
