,speed,heading,desired_duration,actual_duration,x0,y0,vel_x0,vel_y0,col_x,col_y,x1,y1,vel_x1,vel_y1
0,229,46,0.19066821486436056,0.3837394714355469,0,0,0,0,434,-2094,5,5,4,-4
1,133,148,0.8335207728440682,0.9948437213897705,6,7,236,256,1032,-2773,18,-6,276,-289
2,29,154,0.9172921240755478,1.052469253540039,19,-7,291,-274,1032,-2773,29,-25,24,12
3,226,13,0.3240497179695027,0.5053532123565674,29,-25,16,8,-432,1269,31,-19,-145,143
4,241,223,0.4220647921197424,0.5590851306915283,31,-18,-150,151,452,-1385,19,9,-584,413
5,71,253,0.06449740121702575,0.2180309295654297,16,11,-626,329,1041,-1200,8,14,-52,16
6,227,40,0.02471388024634371,0.13278985023498535,5,14,-707,-188,241,880,-2,11,-465,-30
7,184,269,0.9135526082518476,1.0975501537322998,-8,11,-1084,25,-226,-1876,-89,10,-851,-31
8,33,285,0.9916034046747412,1.1427688598632812,-98,10,-806,-59,-123,-1108,-151,20,-346,43
9,185,338,0.36109297490924225,0.4840552806854248,-154,20,-165,44,397,-1894,-158,29,-90,352
10,249,76,0.203455494614919,0.3468360900878906,-159,32,-104,327,99,-1810,-163,41,0,-3
11,191,10,0.9021983128020185,1.047917366027832,-163,41,0,0,99,-1810,-165,42,0,0
12,212,330,0.043136940510432,0.20035386085510254,-165,42,0,0,462,-785,-159,43,535,150
13,153,295,0.14474248397665546,0.30737829208374023,-159,43,0,0,408,-603,-166,41,0,0
14,191,53,0.018840993115337646,0.19727373123168945,-166,41,0,0,-875,551,-168,40,-934,-289
15,46,255,0.7334891070177862,0.9387402534484863,-173,39,-827,-236,393,-905,-174,40,0,0
16,170,160,0.7090160202198117,0.8316061496734619,-174,40,0,0,178,-902,-180,31,66,-393
17,246,256,0.31119507857448664,0.5256819725036621,-180,29,109,-378,-98,-1118,-174,-4,-250,-748
18,197,49,0.07310576828916077,0.22076153755187988,-177,-11,-359,-699,-365,-1113,-187,-23,-699,-396
19,144,333,0.8789176513337947,1.069883108139038,-191,-25,-759,-262,298,-750,-218,-17,3,0
20,148,21,0.9700744176346198,1.1414237022399902,-218,-16,-49,130,200,2168,-221,-7,-55,218
21,126,113,0.5091239545448558,0.6893060207366943,-222,-5,-85,239,99,-1514,-215,14,318,128
22,247,206,0.7149713342967335,0.872490644454956,-212,15,333,24,-101,-1208,-176,-26,-38,-754
23,239,136,0.3658652665390616,0.4928591251373291,-177,-34,-94,-808,170,-1996,-179,-76,10,-817
24,21,260,0.38551710436472975,0.5245516300201416,-179,-82,-5,-1,2279,-1607,-176,-76,-6,9
25,101,42,0.2565313508324447,0.460651159286499,-176,-76,3,-11,230,-1042,-181,-79,-256,18
26,42,270,0.9998115179685287,1.1565864086151123,-182,-78,-254,77,55,-851,-184,-78,0,0
27,87,223,0.9804926513711082,1.1056122779846191,-184,-78,0,0,-119,-1012,-192,-81,6,-6
28,251,108,0.43657640472778403,0.6104090213775635,-192,-81,4,-4,-119,-1012,-201,-92,-69,-140
29,29,255,0.4675268956171843,0.5352449417114258,-201,-92,-3,6,-3,-882,-202,-93,5,-3
30,43,353,0.9240083948706117,1.0018031597137451,-202,-93,11,-11,-3,-882,-203,-92,0,0
31,237,0,0.5758393538655878,0.6576251983642578,-203,-92,0,0,-48,607,-205,-73,5,583
32,159,27,0.5477327426121787,0.7044711112976074,-205,-71,6,584,-48,607,-191,-31,289,559
33,179,276,0.151079248791272,0.23068976402282715,-189,-27,297,533,-48,607,-182,-12,214,664
34,231,319,0.07094136818076688,0.15343642234802246,-181,-9,92,699,-48,607,-181,1,-85,799
35,8,109,0.908698271847168,0.9999170303344727,-181,5,-108,795,-180,-564,-183,31,226,-182
36,223,111,0.6262355169561524,0.7202420234680176,-182,30,-30,-80,145,-1536,-149,15,682,-325
37,141,77,0.09342217473558635,0.17373991012573242,-146,13,680,-333,185,-1636,-131,8,844,-200
38,180,185,0.6998595439053339,0.7808065414428711,-128,7,827,-134,-300,-1556,-84,-15,301,-695
39,12,156,0.27748499829644147,0.3609888553619385,-82,-19,179,-729,-882,1667,-80,-38,63,-350
40,227,230,0.3336525196839619,0.453568696975708,-80,-40,95,-328,64,-1268,-72,-68,-81,-531
41,187,189,0.7431828179084116,1.0324640274047852,-73,-70,-124,-519,2974,-1980,-88,-113,-180,-336
42,228,10,0.6465566759085177,0.7339587211608887,-92,-122,-81,-340,4324,-1996,-76,-146,520,62
43,65,30,0.127576887931018,0.20517277717590332,-74,-146,519,181,-162,-899,-66,-143,463,405
44,199,340,0.5382448091187109,0.6290109157562256,-64,-141,416,455,1993,1900,-51,-123,19,181
45,33,116,0.0464850349105294,0.2472972869873047,-51,-122,-65,107,1256,12,-54,-120,-288,267
46,4,316,0.0715722230248619,0.16525030136108398,-57,-114,35,57,310,-528,-58,-114,-98,-9
47,23,17,0.10241987948047981,0.18975496292114258,-58,-114,0,-1,310,-528,-58,-114,11,-10
48,165,54,0.41948337385745865,0.5007140636444092,-58,-114,1,-1,146,-800,-56,-107,0,0
49,226,59,0.6286003049662126,0.7271533012390137,-56,-107,0,0,146,-800,-54,-105,0,0
